"x","concordance","y"
"37-38","1",4
"39-40","1",10
"41-42","1",15
"43-44","1",12
"45-46","1",7
"47-48","1",4
"49-50","1",1
"51-52","1",3
"53-54","1",3
"55-56","1",4
"57-58","1",3
"59-60","1",1
