"x","concordance","y"
"300-325",1,1
"350-375",1,3
"375-400",1,7
"400-425",1,4
"425-450",1,2
"450-475",1,4
"475-500",1,10
"500-525",1,10
"525-550",1,15
"550-575",1,6
"575-600",1,10
"600-625",1,6
"625-650",1,5
"650-675",1,4
"675-700",1,6
"700-725",1,5
"725-750",1,5
"750-775",1,2
"775-800",1,1
"800-825",1,2
"825-850",1,1
"850-875",1,4
"950-975",1,1
